Beimerstetten;;;;;;8000858
Beldorf;;;;;;8000860
Belgershain;;;;;;8011132
Belleben;;;;;;8011133
Bellenberg;;;;;;8000862
Bellheim Am Mühlbuckel;;;;;;8000861
Bellheim Bf;;;;;;8000863
Bempflingen;;;;;;8000865
Benediktbeuern;;;;;;8000869
Bengel;;;;;;8000870
Benneckenstein;;;;;;8017002
Bennemühlen;;;;;;8000871
Bennewitz;;;;;;8013362
Bennigsen;;;;;;8000872
Benningen(Neckar);;;;;;8000873
Bennungen;;;;;;8011138
Bensersiel;;;;;;8006636
Bensersiel NE;;;;;;8098555
Benshausen;;;;;;8011139
Bensheim;;;;;;8000031
Bensheim-Auerbach;;;;;;8000877
Bentwisch;;;;;;8011140
Beratzhausen;;;;;;8000882
Berbisdorf;;;;;;8011142
Berbisdorf Anbau;;;;;;8011143
Berchtesgaden Hbf;BGD;;;;;8000885
Berg(Pfalz);;;;;;8000890
Berga-Kelbra;;;;;;8010032
Berga(Elster);;;;;;8011144
Bergen auf Rügen;Rügen;;;;;8010033
Bergen(Oberbay);;;;;;8000888
Bergenweiler;Sontheim-Bergenwe.;;;;;8000889
Bergfelde(b Berlin);;;;;;8080100
Berghausen Am Stadion;Pfinztal-Bergh. Stad;;;;;8007864
Berghausen Pfinzbrücke;Pfinztal-Bergh. Pfin;;;;;8007863
Berghausen(b Wittgenstein);Bad Berleburg-Bergha;;;;;8000892
Berghausen(Baden);Pfinztal-Berghausen;;;;;8000893
Berghausen(Pfalz);Römerberg-Berghausen;;;;;8000894
Bergheim(Erft);BM;;;;;8000355
Bergisch Gladbach;GL;;;;;8000899
Bergsdorf;;;;;;8011149
Bergtheim;;;;;;8000902
Bergwitz;;;;;;8011150
Beringen Bad Bf;;;;;;8000903
Beringerfeld;;;;;;8000901
Beringhausen;Marsberg-Beringhaus.;;;;;8000904
Beringstedt;;;;;;8000905
Berkenbrück;;;;;;8011154
BERLIN;B;BERLIJN;BERLINO;;;8096003
Berlin Alexanderplatz;;;;;;8011155
Berlin Alexanderplatz (S);;;;;;8089001
Berlin Alt-Reinickendorf;;;;;;8089103
Berlin Anhalter Bf;;;;;;8089002
Berlin Attilastr.;;;;;;8089003
Berlin Baumschulenweg;;;;;;8089004
Berlin Bellevue;;;;;;8089005
Berlin Betriebsbf Rummelsburg;;;;;;8089006
Berlin Betriebsbf Schöneweide;;;;;;8089007
Berlin Beusselstraße;;;;;;8089118
Berlin Bornholmer Str.;;;;;;8089008
Berlin Botanischer Garten;;;;;;8089009
Berlin Brandenburger Tor;;;;;;8089044
Berlin Buckower Chaussee;;;;;;8089010
Berlin Bundesplatz;Bundesplatz(Berlin);;;;;8089107
Berlin Eichborndamm;;;;;;8089101
Berlin Feuerbachstr.;;;;;;8089012
Berlin Frankfurter Allee;;;;;;8089013
Berlin Friedrichstraße;BFR;;;;;8011306
Berlin Gehrenseestr.;;;;;;8089014
Berlin Gesundbrunnen;BGS;;;;;8011102
Berlin Gesundbrunnen(S);;;;;;8089015
Berlin Greifswalder Str;;;;;;8089011
Berlin Grünbergallee;;;;;;8089016
Berlin Hackescher Markt;;;;;;8089017
Berlin Hbf;BHBF;Berlin Hauptbahnhof;;;;8011160
Berlin Hbf (Europaplatz);;;;;;8070952
Berlin Hbf (S-Bahn);Berlin Lehrter Bahnh;;;;;8089021
Berlin Hbf (tief);;;;;;8098160
Berlin Heerstraße;;;;;;8089329
Berlin Heidelberger Platz;Berlin Heidelberger;;;;;8089112
Berlin Hermannstraße;Hermannstra.(Berlin);;;;;8089105
Berlin Hohenzollerndamm;Hohenzollernda(Berl);;;;;8089108
Berlin Humboldthain;;;;;;8089018
Berlin Innsbrucker Platz;Innsbrucker P(Berl.);;;;;8089106
Berlin Jannowitzbrücke;;;;;;8089019
Berlin Julius-Leber-Brücke;;;;;;8089537
Berlin Jungfernheide;;;;;;8011167
Berlin Jungfernheide (S);;;;;;8089100
Berlin Karl-Bonhoeffer-Nervenklinik;Berlin Karl-Bonhöff;;;;;8089102
